index,palette_color,hex,source_file,output_file
1,"(217, 71, 60)",#D9473C,E001.png,palette_tile_0001.png
2,"(200, 110, 85)",#C86E55,E002.png,palette_tile_0002.png
3,"(225, 87, 46)",#E1572E,E003.png,palette_tile_0003.png
4,"(140, 83, 65)",#8C5341,E004.png,palette_tile_0004.png
5,"(204, 117, 80)",#CC7550,E005.png,palette_tile_0005.png
6,"(222, 93, 36)",#DE5D24,E006.png,palette_tile_0006.png
7,"(192, 99, 52)",#C06334,E007.png,palette_tile_0007.png
8,"(48, 41, 37)",#302925,E008.png,palette_tile_0008.png
9,"(193, 158, 138)",#C19E8A,E009.png,palette_tile_0009.png
10,"(249, 147, 86)",#F99356,E010.png,palette_tile_0010.png
11,"(243, 140, 76)",#F38C4C,E011.png,palette_tile_0011.png
12,"(56, 46, 39)",#382E27,E012.png,palette_tile_0012.png
13,"(184, 103, 46)",#B8672E,E013.png,palette_tile_0013.png
14,"(243, 145, 74)",#F3914A,E014.png,palette_tile_0014.png
15,"(204, 156, 121)",#CC9C79,E015.png,palette_tile_0015.png
16,"(226, 139, 55)",#E28B37,E016.png,palette_tile_0016.png
17,"(154, 105, 56)",#9A6938,E017.png,palette_tile_0017.png
18,"(189, 122, 54)",#BD7A36,E018.png,palette_tile_0018.png
19,"(222, 137, 48)",#DE8930,E019.png,palette_tile_0019.png
20,"(186, 131, 72)",#BA8348,E020.png,palette_tile_0020.png
21,"(218, 137, 46)",#DA892E,E021.png,palette_tile_0021.png
22,"(224, 145, 48)",#E09130,E022.png,palette_tile_0022.png
23,"(226, 184, 132)",#E2B884,E023.png,palette_tile_0023.png
24,"(225, 165, 89)",#E1A559,E024.png,palette_tile_0024.png
25,"(75, 65, 52)",#4B4134,E025.png,palette_tile_0025.png
26,"(238, 207, 164)",#EECFA4,E026.png,palette_tile_0026.png
27,"(231, 201, 159)",#E7C99F,E027.png,palette_tile_0027.png
28,"(62, 55, 45)",#3E372D,E028.png,palette_tile_0028.png
29,"(221, 168, 89)",#DDA859,E029.png,palette_tile_0029.png
30,"(249, 198, 116)",#F9C674,E030.png,palette_tile_0030.png
31,"(243, 220, 183)",#F3DCB7,E031.png,palette_tile_0031.png
32,"(236, 206, 157)",#ECCE9D,E032.png,palette_tile_0032.png
33,"(240, 212, 164)",#F0D4A4,E033.png,palette_tile_0033.png
34,"(234, 216, 185)",#EAD8B9,E034.png,palette_tile_0034.png
35,"(206, 156, 66)",#CE9C42,E035.png,palette_tile_0035.png
36,"(244, 222, 180)",#F4DEB4,E036.png,palette_tile_0036.png
37,"(247, 201, 113)",#F7C971,E037.png,palette_tile_0037.png
38,"(216, 189, 137)",#D8BD89,E038.png,palette_tile_0038.png
39,"(234, 206, 152)",#EACE98,E039.png,palette_tile_0039.png
40,"(239, 216, 171)",#EFD8AB,E040.png,palette_tile_0040.png
41,"(240, 213, 160)",#F0D5A0,E041.png,palette_tile_0041.png
42,"(230, 203, 147)",#E6CB93,E042.png,palette_tile_0042.png
43,"(223, 204, 164)",#DFCCA4,E043.png,palette_tile_0043.png
44,"(246, 202, 109)",#F6CA6D,E044.png,palette_tile_0044.png
45,"(236, 210, 155)",#ECD29B,E045.png,palette_tile_0045.png
46,"(229, 212, 175)",#E5D4AF,E046.png,palette_tile_0046.png
47,"(224, 188, 108)",#E0BC6C,E047.png,palette_tile_0047.png
48,"(203, 158, 55)",#CB9E37,E048.png,palette_tile_0048.png
49,"(225, 209, 169)",#E1D1A9,E049.png,palette_tile_0049.png
50,"(239, 210, 123)",#EFD27B,E050.png,palette_tile_0050.png
51,"(242, 215, 133)",#F2D785,E051.png,palette_tile_0051.png
52,"(236, 210, 113)",#ECD271,E052.png,palette_tile_0052.png
53,"(181, 191, 37)",#B5BF25,E053.png,palette_tile_0053.png
54,"(40, 41, 30)",#28291E,E054.png,palette_tile_0054.png
55,"(106, 113, 45)",#6A712D,E055.png,palette_tile_0055.png
56,"(142, 162, 91)",#8EA25B,E056.png,palette_tile_0056.png
57,"(131, 179, 57)",#83B339,E057.png,palette_tile_0057.png
58,"(98, 118, 76)",#62764C,E058.png,palette_tile_0058.png
59,"(94, 119, 74)",#5E774A,E059.png,palette_tile_0059.png
60,"(72, 90, 61)",#485A3D,E060.png,palette_tile_0060.png
61,"(66, 89, 56)",#425938,E061.png,palette_tile_0061.png
62,"(67, 150, 99)",#439663,E062.png,palette_tile_0062.png
63,"(69, 124, 97)",#457C61,E063.png,palette_tile_0063.png
64,"(64, 227, 148)",#40E394,E064.png,palette_tile_0064.png
65,"(84, 154, 122)",#549A7A,E065.png,palette_tile_0065.png
66,"(66, 139, 112)",#428B70,E066.png,palette_tile_0066.png
67,"(108, 164, 144)",#6CA490,E067.png,palette_tile_0067.png
68,"(37, 119, 96)",#257760,E068.png,palette_tile_0068.png
69,"(86, 149, 133)",#569585,E069.png,palette_tile_0069.png
70,"(74, 138, 123)",#4A8A7B,E070.png,palette_tile_0070.png
71,"(134, 162, 156)",#86A29C,E071.png,palette_tile_0071.png
72,"(92, 154, 141)",#5C9A8D,E072.png,palette_tile_0072.png
73,"(53, 137, 120)",#358978,E073.png,palette_tile_0073.png
74,"(110, 142, 137)",#6E8E89,E074.png,palette_tile_0074.png
75,"(69, 128, 119)",#458077,E075.png,palette_tile_0075.png
76,"(75, 137, 128)",#4B8980,E076.png,palette_tile_0076.png
